topic_id,graph_id
Recent medical problems and sedentary lifestyle.,essay354.txt
Gun control,essay036.txt
Television is the culprit for destroying communication between friends & family,essay017.txt
Man to man interaction changed,essay340.txt
Should universities accept equal number of males/females or not,essay062.txt
Working at home vs Working in a company,essay259.txt
Advertising - positive or negative part of our lives,essay082.txt
The government should allocate more funds to public services instead of arts,essay131.txt
The city which I enjoy the most is a combination of history and modernity,essay331.txt
Distance-learning cannot bring the benefits that traditional colleges offer,essay138.txt
