topic_id,graph_id
Keeping animals in zoos,essay080.txt
Should teachers be paid according to how much their students learn?,essay283.txt
Environmental protection vs Economic developments,essay254.txt
Creativity - should it be given freedom or restrictions,essay057.txt
We can not forcedly put the same numbers of males and females into every subject,essay398.txt
University education restriction,essay209.txt
Government should make more effort to promote alternative sources of energy,essay044.txt
Life in  a city is much better than life in the countryside,essay241.txt
Growing violence in films has affected youngsters in a negative way?,essay156.txt
Businesses should be only concerned about making profits.,essay121.txt
Should governments spend more money on improving roads and highways,essay010.txt
People should have hobbies and do physical activities,essay215.txt
Classroom learnng vs online education,essay297.txt
A greater proportion of the budget should be allotted to education and prevention issues,essay171.txt
Should good people are rewarded and bad people are punished in movies or dramas?,essay284.txt
The maintenance of traditional skills and ways of life?,essay372.txt
"Under suitable administration, tourism enhances local economic development",essay130.txt
Children can effectively learn from watching television,essay361.txt
Human needs vs saving land for endangered animals,essay304.txt
Sense of cooperation,essay342.txt
